20948 畚 pūn 
20949 畜 【文】thiok 
20950 畝 bóo 
20951 疲 phî 
20952 疳 kam 
20953 疸 thán 
20954 疹 tsín 
20955 疾 tsi̍k 
20956 疾 tsi̍t 
20957 病 【文】pīng 
20958 益 【白】iah 
20959 益 【文】ik 
20960 眠 【文】biân 
20961 眨 【替】tsha̍p 
20962 矩 kí/kú 
20963 砲 phàu 
20964 祐 iū 
20965 祕 pì 
20966 祚 tsà 
20967 祟 【替】sui 
20968 秘 pì 
20969 秤 pîng 
20970 秦 tsîn 
20971 秧 【文】iang 
20972 秧 【文】iong 
20973 秩 tia̍t 
20974 秪 te 
20975 秫 tsu̍t 
20976 秮 【替】tai 
20977 窄 tsik 
20978 窈 iáu 
20979 笆 pa 
20980 笑 【文】tshiàu 
20981 笑 【文】siàu 
20982 笒 【替】gím/giám 
20983 粅 【替】but 
20984 紋 bûn 
20985 紐 liú 
20986 紗 【文】sa 
20987 紛 hun 
20988 紡 【文】hóng 
20989 索 【文】sik 
20990 羓 【替】pa 
20991 羔 ko 
20992 翁 【文】ong 
20993 翅 tshì 
20994 耆 kî 
20995 耕 king 
20996 耘 ûn 
20997 耽 【替】tânn 
20998 胭 ian 
20999 胰 î 
21000 胱 kong 
21001 胳 【替】koh 
21002 胸 【文】hiong 
21003 脂 tsi 
21004 脅 hia̍p 
21005 脆 【文】tshuì 
21006 脈 【文】bi̍k 
21007 脊 【白】tsiah 
21008 脊 【文】tsik 
21009 脊 【白】tsit 
21010 舨 pán 
21011 航 hâng 
21013 般 【文】pan 
21014 般 【白】puann 
21015 茭 ka 
21016 茭 kha 
21017 茯 ho̍k 
21018 茱 tsu 
21019 茵 in 
21020 茸 jiông/liông 
21021 荀 sûn 
21022 荇 hīng 
21023 荊 king 
21024 荍 【替】siô 
21025 荐 tsiàn 
21026 荒 【文】hong 
21027 荔 nāi 
21028 荖 【白】láu 
21029 荖 【文】ló 
21030 虔 khiân 
21031 蚊 bûn 
21032 蚌 pāng 
21033 蚓 kún 
21034 蚣 kang 
21035 蚤 tsáu 
21037 衲 la̍p 
21038 衷 thiong 
21039 訊 sìn 
21040 訓 hùn 
21041 訕 【替】suān 
21043 豈 khí 
21044 貢 kòng 
21045 躬 kiong 
21046 軒 【文】hian 
21047 軒 【白】ian 
21048 辱 jio̍k/lio̍k 
21049 迴 huê 
21050 送 【文】sòng 
21051 郡 kūn 
21052 酌 tsiok 
21053 釘 ting 
21054 陛 pè 
21055 陝 siám 
21056 陞 sing 
21057 隻 【文】tsik 
21058 馬 【替】ma 
21059 高 kau 
21060 鬥 【文】tòo 
21061 倏 【替】suā 
21062 偉 uí 
21063 偕 kai 
21064 健 【文】kiān 
21065 健 【白】kiānn 
21066 側 tshik 
21067 偵 tsing 
21068 偶 ngóo 
21069 偽 guī 
21070 凰 hông 
21071 勘 kham 
21072 勘 khàm 
21073 匿 li̍k 
21074 參 sim 
21075 參 som 
21076 售 siū 
21077 唯 uî 
21078 唱 【文】tshiòng 
21079 商 siong 
21080 問 【文】būn 
21081 啖 【替】tām 
21082 啞 【文】á 
21083 啞 【白】é 
21084 啟 khé 
21085 啡 pi 
21086 圇 lûn 
21087 圈 khuan 
21088 域 【文】i̍k 
21089 埠 pōo 
21090 執 tsip 
21091 培 puê 
21092 基 【白】ke 
21093 基 【文】ki 
21094 埽 【替】sò 
21095 奢 tshia 
21096 娼 【替】tshang 
21097 娼 tshiong 
21098 婉 uán 
21099 婊 piáu 
21100 婢 pī 
21101 婦 【白】pū 
21102 宿 【文】siok 
21103 宿 siù 
21104 宿 【白】sok 
21105 寂 tsi̍k 
21106 寂 【俗】siok 
21107 寄 【文】kì 
21108 密 【文】bi̍t 
21109 屠 tôo 
21110 崇 tsông 
21111 崔 tshui 
21112 崖 gâi 
21113 崗 【白】kang 
21114 崗 【文】kong 
21115 崙 lūn 
21116 崩 【文】ping 
21117 巢 tsâu 
21118 帳 【文】tiòng 
21119 帳 【白】tiùnn 
21120 帷 uî 
21121 常 【俗】tshiâng 
21122 常 siông 
21123 庵 am 
21124 康 【白】khng 
21125 康 【文】khong 
21126 庸 iông 
21127 張 【文】tiong 
21128 強 【俗】kióng 
21129 強 kiōng 
21130 彗 huī 
21131 彩 tshái 
21132 彪 piu 
21133 彬 pin 
21134 徘 pâi 
21135 從 【文】tshiong 
21136 御 gū 
21137 悉 sik 
21138 悠 iu 
21139 患 huān 
21140 悽 tshi 
21141 情 【白】tsiânn 
21142 惘 bóng 
21143 惜 【文】sik 
21144 惟 uî 
21145 惟 î 
21146 戚 tshik 
21147 捨 siá 
21148 捷 【白】tsia̍t 
21149 掃 【文】sò 
21150 掇 【替】tuah 
21151 掇 tua̍h 
21152 授 siū 
21153 掙 【替】tsiānn 
21154 掠 【文】lio̍k 
21155 控 khòng 
21156 推 【文】tshui 
21157 敏 bín 
21158 敘 sū 
21159 敝 pē 
21160 敝 pè 
21161 斜 【文】siâ 
21162 斬 【文】tsám 
21163 斬 【白】tsánn 
21164 晚 【文】buán 
21165 晚 【白】mńg 
21166 晝 【文】tiù 
21167 晨 sîn 
21168 曹 tsô 
21169 曼 bān 
21170 梁 niû 
21171 梅 【文】muî 
21172 梗 【白】kénn 
21173 梗 【文】kíng 
21174 梟 hiau 
21175 梧 ngôo 
21176 梨 【文】lê 
21177 梭 so 
21178 梯 【文】the 
21179 械 hāi 
21180 梵 huān 
21181 棄 khì 
21182 欲 io̍k 
21183 毫 hô 
21184 毫 hôo 
21185 毬 【替】kiû 
21186 涎 siân 
21187 涯 gâi 
